City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
645,Inirida,CO,71.71,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
647,Laguna De Perlas,NI,82.49,scattered clouds,12.3429,-83.6712,Hotel Best View
650,Lipari,IT,72.73,clear sky,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
651,Semnan,IR,81.57,clear sky,35.5729,53.3971,Semnan Tourist Hotel
655,Namatanai,PG,83.43,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
657,Broome,US,76.8,scattered clouds,42.2506,-75.833,Chenango Valley State Park
660,Yongzhou,CN,77.94,few clouds,26.4559,111.5988,Jialong Hotel
663,Babu,CN,77.58,scattered clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
664,Nagua,DO,78.85,scattered clouds,19.3832,-69.8474,Hotel Cambri
667,Key West,US,84.99,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
669,Sorong,ID,80.2,few clouds,-0.8833,131.25,waigo splash hotel
670,Tabuk,PH,78.04,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
672,Tarauaca,BR,74.84,overcast clouds,-8.1614,-70.7656,Flat Temporada
673,Paita,PE,70.36,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
674,Lampang,TH,78.33,light rain,18.3333,99.5,Mrs Luis Guest House
675,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
676,Pontian Kecil,MY,78.93,light rain,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
677,Acarau,BR,78.19,broken clouds,-2.8856,-40.12,castelo pizzaria
681,Zaragoza,ES,78.89,clear sky,41.6561,-0.8773,Hotel Goya
684,Urucara,BR,80.08,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
685,Brownsville,US,89.58,scattered clouds,25.9018,-97.4975,University Inn & Suites
687,Luanda,AO,72.34,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
689,Sarangani,PH,83.26,broken clouds,5.4033,125.4636,Ballistic Islet
691,Satana,IN,77.47,broken clouds,20.5833,74.2,Krishna pawar_1217 जय टायगर ग्रुप
693,Ferkessedougou,CI,83.62,broken clouds,9.6,-5.2,Hotel Chateau
695,Darnah,LY,71.29,clear sky,32.767,22.6367,فندق الفردوس
696,Popondetta,PG,83.68,few clouds,-8.7537,148.2534,Timos Transit House
698,Yanam,IN,79.84,heavy intensity rain,16.7333,82.2167,The Regency Hotel
699,North Platte,US,86.32,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
703,Barra Do Garcas,BR,75.99,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
706,Islamkot,PK,84.15,clear sky,24.6997,70.177,Haji Hotel
709,Shingu,JP,76.19,overcast clouds,33.7333,135.9833,Shingu UI Hotel
