City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
268,Ust-Nera,64.5667,143.2,41.4,77,51,4.03,RU,2021-06-10 17:53:34
269,Doha,25.2867,51.5333,96.78,23,0,13.8,QA,2021-06-10 17:53:35
270,Takoradi,4.8845,-1.7554,80.49,78,100,7.54,GH,2021-06-10 17:53:35
271,Kaabong,3.4836,34.1492,68.67,57,11,6.46,UG,2021-06-10 17:53:35
272,Ketchikan,55.3422,-131.6461,52.27,76,90,10.36,US,2021-06-10 17:53:36
273,Ulaangom,49.9811,92.0667,59.45,63,86,1.3,MN,2021-06-10 17:53:36
274,Xingcheng,40.6167,120.7167,63.25,98,81,2.89,CN,2021-06-10 17:53:36
275,Pevek,69.7008,170.3133,31.33,90,18,1.16,RU,2021-06-10 17:53:36
276,Port Lincoln,-34.7333,135.8667,52.52,74,90,1.59,AU,2021-06-10 17:53:37
277,Vrangel,42.7297,133.0839,58.1,79,100,8.32,RU,2021-06-10 17:53:37
278,Bredasdorp,-34.5322,20.0403,56.52,94,96,3.44,ZA,2021-06-10 17:53:37
279,Taksimo,56.3444,114.8794,54.86,59,17,1.28,RU,2021-06-10 17:53:38
280,Pacific Grove,36.6177,-121.9166,67.95,65,1,1.01,US,2021-06-10 17:53:38
281,Sept-Iles,50.2001,-66.3821,59.05,36,75,7.0,CA,2021-06-10 17:53:38
282,Xixiang,35.1628,112.865,78.89,58,61,5.1,CN,2021-06-10 17:53:39
283,Berberati,4.2612,15.7922,70.54,96,79,6.69,CF,2021-06-10 17:53:39
284,Tolaga Bay,-38.3667,178.3,52.83,89,11,6.11,NZ,2021-06-10 17:53:39
285,Tomatlan,19.9333,-105.25,94.62,35,5,8.63,MX,2021-06-10 17:53:40
286,Pimenta Bueno,-11.6725,-61.1936,92.71,38,56,4.27,BR,2021-06-10 17:53:40
287,Pangnirtung,66.1451,-65.7125,37.4,87,75,14.97,CA,2021-06-10 17:53:40
288,Norman Wells,65.282,-126.8329,69.84,37,20,8.05,CA,2021-06-10 17:53:40
289,Vila Franca Do Campo,37.7167,-25.4333,68.41,86,55,7.81,PT,2021-06-10 17:53:41
290,Quelimane,-17.8786,36.8883,65.68,87,12,4.72,MZ,2021-06-10 17:53:41
291,Roebourne,-20.7833,117.1333,74.1,66,82,3.42,AU,2021-06-10 17:53:41
292,Lubao,14.9167,120.55,80.67,91,100,1.7,PH,2021-06-10 17:53:42
